@relation chunks

@attribute velocidade_maxima numeric
@attribute aceleracao_maxima numeric
@attribute mudancas_de_direcao numeric
@attribute modo_de_transporte {MOTORIZADO,NAO_MOTORIZADO}

@data
8.494112,2.2248669,20,MOTORIZADO
10.313109,2.9392128,29,MOTORIZADO
10.140831,1.5880655,17,MOTORIZADO
14.082933,3.541376,24,MOTORIZADO
10.427752,8.462301,28,MOTORIZADO
12.422386,2.567297,6,MOTORIZADO
8.928328,2.8356402,19,MOTORIZADO
12.358507,6.830781,16,MOTORIZADO
11.054067,2.5274878,18,MOTORIZADO
371.41846,370.68515,12,MOTORIZADO
1666.0369,1665.1765,5,MOTORIZADO
386.80673,384.3841,9,MOTORIZADO
9.457235,0.0,1,MOTORIZADO
688.29675,686.01605,13,MOTORIZADO
127.70937,127.34239,9,MOTORIZADO
540.5679,536.9518,6,MOTORIZADO
527.7735,524.1847,8,MOTORIZADO
558.86206,556.52167,10,MOTORIZADO
280.30978,276.83264,7,MOTORIZADO
101.1098,98.6999,17,MOTORIZADO
58.011604,53.58694,17,MOTORIZADO
4.3157,2.5792656,4,MOTORIZADO
371.41846,370.68515,12,MOTORIZADO
1666.0369,1665.1765,5,MOTORIZADO
386.80673,384.3841,9,MOTORIZADO
9.457235,0.0,1,MOTORIZADO
688.29675,686.01605,13,MOTORIZADO
127.70937,127.34239,9,MOTORIZADO
540.5679,536.9518,6,MOTORIZADO
527.7735,524.1847,8,MOTORIZADO
558.86206,556.52167,10,MOTORIZADO
280.30978,276.83264,7,MOTORIZADO
101.1098,98.6999,17,MOTORIZADO
58.011604,53.58694,17,MOTORIZADO
4.3157,2.5792656,4,MOTORIZADO
371.41846,370.68515,12,MOTORIZADO
1666.0369,1665.1765,5,MOTORIZADO
386.80673,384.3841,9,MOTORIZADO
9.457235,0.0,1,MOTORIZADO
688.29675,686.01605,13,MOTORIZADO
127.70937,127.34239,9,MOTORIZADO
540.5679,536.9518,6,MOTORIZADO
527.7735,524.1847,8,MOTORIZADO
558.86206,556.52167,10,MOTORIZADO
280.30978,276.83264,7,MOTORIZADO
101.1098,98.6999,17,MOTORIZADO
58.011604,53.58694,17,MOTORIZADO
4.3157,2.5792656,4,MOTORIZADO
527.7735,524.1847,8,MOTORIZADO
